,ddg,ddg_std,scrmsd,scrmsd_std,ll,ll_std
Pretrained,0.579643488484375,0.8630491635544122,1.1895664762705564,0.46322713468948495,-124.516452729702,6.741567220093361
DRAKES,1.1242705487109375,0.5433820940906918,1.0057794980239123,0.3604901861702515,-154.01916241645813,3.724357458004268
BON-DDG-Pretrained,1.26787280328125,0.342468744966679,1.041075389366597,0.24142334230246867,-128.98257952928543,5.753480686961714
BON-DDG-DRAKES,1.20086452290625,0.4337021513134045,1.0452538572717458,0.3498316807737753,-148.76499366760254,4.109131021740638
BON-ProtGPT-Pretrained,-0.12005321955468748,0.5668826807633046,1.0175521350465715,0.4410224970803847,-109.78541016578674,1.5471543085676207
BON-ProtGPT-DRAKES,0.792282386071875,0.721043134462685,1.0268970916513354,0.32485912637992426,-140.78159415721893,2.665541686281608
BEAM-DDG-Pretrained,1.539058590859375,0.323955262714768,0.8913465882651508,0.33222809315955154,-138.08082658052444,5.483269313260804
BEAM-DDG-DRAKES,1.0748388000781248,0.2194010008858832,1.0624995972029865,0.19775629136920256,-144.0850727558136,3.529321396838746
BEAM-ProtGPT-Pretrained,0.267573755571875,0.9276662528220911,0.7868435331620276,0.2699960689483958,-108.0189443230629,3.074639640800529
BEAM-ProtGPT-DRAKES,0.16169212963359375,0.5431273791324808,1.3245728970505297,0.6013788384977816,-134.66201716661453,4.170712325039822
Spectral-DDG-Pretrained,1.3187620889062501,0.17687772819428185,0.9911319254897535,0.3212496727060813,-129.90902000665665,2.83142134845465
Spectral-DDG-DRAKES,1.339802468046875,0.2644381668832522,1.2208318561315536,0.14361625434408712,-141.59905326366425,3.1235343222151064
Spectral-ProtGPT-Pretrained,-0.8899288388875,0.5069671638141588,0.8599879387766123,0.19360319542814625,-105.10728234052658,1.7843300200424612
Spectral-ProtGPT-DRAKES,-0.20912713428515625,0.43101739721960414,1.2509719729423523,0.4200530411713406,-130.46682238578796,5.002265181335239
